title,datetime
"ピーチ、国内・国際37路線で「冬のイイ旅セール」　片道1,111円から",2023年11月10日
ユナイテッド航空、東京/羽田〜ヒューストン線の開設を申請,2023年11月10日
"ANA、福島へ「”来て”らっしゃい！」キャンペーンを11月27日から開催　ANA便利用で1,500円分クーポンを配布",2023年11月10日
ルフトハンザ・ドイツ航空、機内Wi-Fiでのメッセージ送受信無料化,2023年11月10日
スイス・インターナショナル・エアラインズ、飛行中の機内でCAが時計組み立て,2023年11月9日
大韓航空、成田空港T1の「KALラウンジ」でのプライオリティ・パス利用を大韓航空便搭乗者に限定,2023年11月9日
ジェットスター航空、ボーイング787-8型機の内装刷新　インドやアフリカ路線開設も,2023年11月9日
エティハド航空、アブダビ〜ナイロビ線を開設　2024年5月1日から1日1往復,2023年11月9日
"ジェットスター・ジャパン、「翔んで埼玉」とコラボ　九州路線の往復購入で復路3,100円",2023年11月9日
フィンエアー、2024年冬期の運航計画更新,2023年11月9日
大韓航空、青森〜ソウル/仁川線の運航再開　2024年1月20日から週3往復,2023年11月9日
大韓航空、小松〜ソウル/仁川線の運航再開　12月28日から週3往復,2023年11月9日
マカオ航空、大阪/関西〜マカオ線を増便　2024年1月30日から1日1往復,2023年11月9日
上海航空、名古屋/中部〜上海/浦東線の運航再開　12月1日から1日1往復,2023年11月9日
ANA、久米島でドローン配送の実証実験　飛行最適化や人件費削減など検証,2023年11月9日
福岡空港の制限エリアを巡るオープントップバスツアー、12月〜2月に設定,2023年11月9日
大韓航空、新潟〜ソウル/仁川線の運航再開　韓国向け貨物も搭載,2023年11月9日
韓国観光公社とセントレア、名鉄が訪韓促進でキャンペーン,2023年11月9日
マレーシア航空、機内Wi-Fiを無料化,2023年11月9日
アップルワールド、「トラベリスト」で海外航空券予約サービスを本格開始,2023年11月9日
"チェジュ航空、日韓線で5日間タイムセール　片道1,500円から",2023年11月8日
グローバル・エアラインズ、エアバスA380型機をJETMSで改修　ファーストクラスのイメージ公開,2023年11月8日
フジドリームエアラインズ、小牧空港でファンミーティング開催　富士山遊覧飛行も,2023年11月8日
セブパシフィック航空、日本〜フィリピン線でセール　片道100円,2023年11月8日
マカオ航空、東京/成田〜マカオ線を増便　2024年1月30日から1日1往復,2023年11月8日
ZIPAIR Tokyo、東京/成田〜バンクーバー線を2024年3月上旬にも開設へ,2023年11月8日
アシアナ航空、仙台〜ソウル/仁川線を増便　12月12日から週6往復,2023年11月8日
"ジェットスター・ジャパン、東京/成田〜上海/浦東線でセール　片道12,999円から",2023年11月8日
エア・カナダ、大阪/関西〜バンクーバー線の運航再開前倒し　5月1日から,2023年11月8日
「ホヌねぶた」作った高校生、ANAとコラボで新作製作中　今年のモデルはあのジャンボ機,2023年11月8日
ジェットスター・ジャパン、東京/成田〜上海/浦東線の運航再開　12月18日から週4往復,2023年11月8日
中国東方航空、東京/羽田〜北京/大興線を開設　12月1日から1日1往復,2023年11月8日
ANA Xとサイバーエージェント、デジタル広告配信サービス「ANA Moment Ads」をリリース,2023年11月8日
エバー航空、エアバス機33機を発注へ　A350-1000とA321neo,2023年11月8日
"ANA、11月9日〜15日搭乗分「トクたびマイル」設定　羽田〜千歳線4,500マイルなど",2023年11月7日
エア・タヒチ・ヌイ、東京/成田〜パペーテ線を期間運休　2024年5月8日〜10月26日,2023年11月7日
"スプリング・ジャパン、「国際線爆買いセール」　片道3,000円から",2023年11月7日
中国国際航空、名古屋/中部〜上海/浦東線の運航再開延期　12月22日から1日1往復,2023年11月7日
鈴与ホールディングス、スカイマークの筆頭株主に,2023年11月7日
ANAグループ、米モハーヴェ空港を訪れるLAツアーを抽選販売,2023年11月7日
"ソラシドエア、割引運賃「ソラシドスペシャル」を販売　片道4,300円から",2023年11月7日
フィンエアー、名古屋/中部〜ヘルシンキ線の運航再開　2024年5月30日から週2往復,2023年11月7日
ニュージーランド航空、P＆Wエンジン点検で2路線運休,2023年11月7日
JAL、「JALマイレージバンクアプリ」をリリース　「JAL Pay」はApple Payにも対応,2023年11月7日
エミレーツ航空、ベルリン乗り入れに向け議論　航空協定で就航できず,2023年11月7日
ソラシドエア、東京/羽田〜熊本・宮崎・長崎・沖縄/那覇線で臨時便を追加　11月〜1月に計20便,2023年11月7日
羽田空港P3駐車場、床面工事で駐車スペース縮小,2023年11月7日
「ハイアット・プレイス・クアラルンプール・ブキットジャリル」開業、KLに同ブランド初進出,2023年11月7日
キャセイパシフィック航空、大阪/関西〜台北/桃園線の特別運賃販売延長　往復総額5.1万円台から,2023年11月6日
エティハド航空、欧州行きでクリスマスセール　総額11万円台から,2023年11月6日
アメリカ運輸省、羽田発着枠の再割り当てに着手　ユナイテッド航空の羽田〜グアム線申請は却下,2023年11月6日
JAL、ボーイング767型機貨物専用機を来年2月運航開始へ,2023年11月6日
"JAL、1月搭乗分の国内線でタイムセール　羽田〜伊丹線が片道6,600円からなど",2023年11月6日
ハワイアン航空、機内アメニティをハワイのブランド「Noho Home」とのコラボデザインに刷新,2023年11月6日
グランドニッコー東京 台場、JALベルスターの演奏会を12月23日・24日に実施　観覧無料,2023年11月6日
大韓航空、東京/成田～ホノルル線の運航再開　2024年4月26日から1日1往復,2023年11月6日
ANA、岩国線利用者に100万マイルを山分け　2024年2月29日まで,2023年11月6日
JALとヤマトの貨物専用機、初号機が成田到着　尾翼にクロネコ、11月下旬から飛行訓練,2023年11月6日
JAL、東京/成田〜台北/桃園線の期間増便継続　2024年3月30日まで,2023年11月6日
ANAトラベラーズ、DP利用でツアーマイル5倍　火〜木曜出発限定,2023年11月6日
JAL、東京/成田〜香港線の期間増便継続　3月30日まで1日1往復,2023年11月5日
「博多だるま DEPARTURE」、福岡空港内に11月1日開業,2023年11月5日
カンタス航空、パース〜パリ/シャルル・ド・ゴール線を開設　2024年7月12日から週4往復,2023年11月5日
スターフライヤー、特別デザイン機「進撃の巨人 スペシャルジェット」をお披露目,2023年11月4日
"ニュージーランド航空、オークランド行き片道航空券でセール　総額73,000円から",2023年11月4日
