title,datetime
成田空港の国際線「ANAラウンジ」、プライオリティ・パスの利用不可に　9月から,2023年8月22日
中国国際航空、ビジネスクラス機内食ランチ付きトークイベント実施,2023年8月22日
成田空港、新たなシーティングスペースをオープン　自宅リビングのような空間を実現,2023年8月22日
マスターカード、三井住友トラストクラブのカード会員にフライト遅延時のラウンジ提供　コリンソンと連携強化,2023年8月22日
春秋航空、高松〜上海/浦東線の運航再開　9月28日から週4往復,2023年8月22日
MIATモンゴル航空、ワンワールド・コネクトに参加へ,2023年8月21日
ソラシドエア、8路線で減額マイルを実施　9月25日から10月28日搭乗分,2023年8月21日
ブリティッシュ・エアウェイズ、リガとベオグラードへ乗り入れ,2023年8月21日
ITAエアウェイズ、東京/羽田〜ローマ線を週5往復に　冬スケジュール運航計画,2023年8月20日
中国国際航空、沖縄/那覇〜北京/首都線の運航再開　9月17日から週2往復,2023年8月20日
シンガポール航空、バルセロナ・ミラノ線を再開・増便　経由便は減便,2023年8月20日
シンガポール航空、シンガポール〜ケアンズ線の機材大型化　週4往復を運航,2023年8月19日
中国国際航空、福岡〜上海/浦東線を増便　9月10日から週3往復,2023年8月19日
エミレーツ航空とフィリピン航空、インターライン契約拡大,2023年8月19日
英国風パブ「HUB」、羽田空港第2ターミナルにオープン,2023年8月19日
アメリカン航空、大西洋路線増強　3都市へ新規就航,2023年8月19日
フィンエアー、トピ・マナーCEOが退任,2023年8月19日
"エアアジア、「ビッグセール」開催　日本発着は総額11,990円から",2023年8月19日
JAL、燃油サーチャージ引き上げ　10月以降発券分,2023年8月18日
シンガポール航空、4日間限定でセール　東南アジア往復総額4.9万円台など,2023年8月18日
エア・カナダ、イエローナイフ周辺の森林火災で増便　避難指示も,2023年8月18日
ロイヤル・エア・モロッコ、ボーイング737型機を5機リース導入　ALCから,2023年8月18日
カタール航空、最大12％オフ　欧州やアフリカ、中東行き対象,2023年8月18日
香港エクスプレス航空、マニラ就航　10月13日から1日1往復,2023年8月17日
関西国際空港の「ANAラウンジ」、プライオリティ・パスで利用可能に,2023年8月17日
ANA、国際線の軽食メニューにヴィーガンカレー　野菜と果実で“牛肉に負けないおいしさ”追求,2023年8月17日
キャセイパシフィック航空、香港発着世界各地行きでセール　ロンドン往復10万円台など,2023年8月17日
デルタ航空、中国路線拡大　10月29日から2路線週10往復,2023年8月17日
イースター航空、東京/成田・大阪/関西〜ソウル/仁川線の運航再開　9月20日から,2023年8月17日
エア・カナダ、航空券キャンセル柔軟に　オプション提供,2023年8月17日
アエロメヒコ航空、東京/成田〜メキシコシティ線の発着時刻変更　成田発は2時間半早く,2023年8月17日
エア・ドゥ、冬スケジュールの航空券販売を8月29日開始,2023年8月17日
ジェットスター・ジャパン、ストライキ回避,2023年8月16日
JTA、沖縄/那覇〜台北/桃園線でチャーター便　10月に2往復,2023年8月16日
フィンエアー、Avios導入　利用額ベースに変更、ラウンジ新設も,2023年8月16日
JAL、ラグビー日本代表オフィシャルサポーター契約を締結,2023年8月16日
スカイマーク、全路線でセール　羽田発着全路線1万円など、8月搭乗分,2023年8月16日
成田国際空港T2に飲食店フロア「JAPAN FOOD HALL」をオープン　テラス席も,2023年8月16日
